slug,company,job_title,status,date_found,job_url,drive_url,drive_updated,clusters
fraunhofer-institute-for-production-technology-ipt-master-thesis-machine-learning-ml-based-methods-as-surrogate-for-finite-element-modelling-1233786101,Fraunhofer Institute for Production Technology (IPT),Master Thesis: Machine Learning (ML)-Based Methods as Surrogate for Finite Element Modelling,withdrawn,2026-06-23,https://jobs.fraunhofer.de/job/Aachen-Master-Thesis-%C2%BBMachine-Learning-%28ML%29-Based-Methods-as-Surrogate-for-Finite-Element-Modelling%C2%AB-52074/1233786101/,https://drive.google.com/drive/folders/1DJCZTf621O1P9QhaHEsoyCvDKF0vwdFG,2026-06-23T18:49:17+00:00,data-persistence;ml-ai
fraunhofer-institute-for-secure-information-technology-sit-research-associate-for-secure-software-development-1372103633,Fraunhofer Institute for Secure Information Technology (SIT),Research Associate for Secure Software Development,withdrawn,2026-06-23,https://jobs.fraunhofer.de/job/Darmstadt-Research-Associate-for-Secure-Software-Development-in-Heilbronn-64295/1372103633/,,,ml-ai;web-api
fraunhofer-institute-for-secure-information-technology-sit-working-student-in-the-field-of-nlp-1373711833,Fraunhofer Institute for Secure Information Technology SIT,Working Student in the Field of NLP,withdrawn,2026-06-23,https://jobs.fraunhofer.de/job/Darmstadt-Working-Student-in-the-Field-of-NLP-64295/1373711833/,https://drive.google.com/drive/folders/1SstuaMkZkDzcEbI5i81zS74SoO3j5yt_,2026-06-23T18:49:26+00:00,ml-ai;web-api
genki-mid-level-backend-developer-4416094413,Genki,Mid-Level Backend Developer,withdrawn,2026-06-21,https://www.linkedin.com/jobs/view/4416094413/,https://drive.google.com/drive/folders/1cZ3wD2Bc00Hdakp7CFtGq8pnVf4XIeRk,2026-06-21T23:37:38+00:00,distributed-systems;web-api;platform-cloud-native
haystack-software-engineer-4428508892,Haystack,Software Engineer,withdrawn,2026-06-21,https://www.linkedin.com/jobs/view/4428508892/,https://drive.google.com/drive/folders/16zShf7Cz0m33bUEw42hwf_8qHRGpFuqf,2026-06-21T23:38:25+00:00,distributed-systems;web-api;platform-cloud-native
moss-senior-platform-engineer-agentic-experience-f-m-d-4430989087,Moss,Senior Platform Engineer (Agentic Experience) (f/m/d),withdrawn,2026-06-21,https://www.linkedin.com/jobs/view/4430989087/,https://drive.google.com/drive/folders/1WcZF9oo1RfsfTnHwoSSGCzZpQtIA4Sdj,2026-06-21T23:38:33+00:00,platform-cloud-native;ml-ai;distributed-systems;observability
nia-health-gmbh-machine-learning-engineer-f-m-d-4416892674,Nia Health GmbH,Machine Learning Engineer (f/m/d),withdrawn,2026-06-21,https://www.linkedin.com/jobs/view/4416892674/,https://drive.google.com/drive/folders/1ybGmKMnv1O0qn7gcf_TrfVqEWY1gwRxG,2026-06-21T23:38:40+00:00,ml-ai;platform-cloud-native;data-persistence
randstad-deutschland-data-engineer-m-w-d-4429795933,Randstad Deutschland,Data Engineer (m/w/d),withdrawn,2026-06-21,https://www.linkedin.com/jobs/view/4429795933/,https://drive.google.com/drive/folders/1ykrHuIqJmYkVMo_GeGUEWpVEXq5V9Fkv,2026-06-21T23:38:46+00:00,data-persistence;platform-cloud-native;ml-ai
remerge-machine-learning-engineer-4418273838,Remerge,Machine Learning Engineer,withdrawn,2026-06-21,https://www.linkedin.com/jobs/view/4418273838/,https://drive.google.com/drive/folders/1Eg1A_ZQwExKNLxVGjlRsFNc0wzy32hHb,2026-06-21T23:38:53+00:00,ml-ai;distributed-systems;data-persistence
xpertdirect-backend-engineer-4427334670,XpertDirect,Backend Engineer,withdrawn,2026-06-21,https://www.linkedin.com/jobs/view/4427334670/,https://drive.google.com/drive/folders/1czFEUfFnTj8qhaYYf88V3M1VB2Ymiz19,2026-06-21T23:38:59+00:00,distributed-systems;platform-cloud-native;web-api;observability
